,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description,director
4049,80141928,Movie,Before the Flood,Leonardo DiCaprio,United States,2018-02-01,2016,PG,97 min,Documentaries,Leonardo DiCaprio crisscrosses the globe to investigate the consequences of man-made globe warming and the measures being taken to reverse it.,Fisher Stevens
5786,80198459,TV Show,Cupcake & Dino - General Services,"Justin Collette, Mark Little, Kyle Dooley, Mark Forward, Joris Jarksy, Julie Lemieux, Kayla Lorette, Julie Sype","Canada, Brazil",2019-05-03,2019,TV-Y7,2 Seasons,"Kids' TV, TV Comedies",An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.,
3200,80079428,Movie,Miss Sharon Jones!,Sharon Jones,United States,2017-01-07,2015,TV-MA,94 min,"Documentaries, Music & Musicals",This uplifting documentary follows R&B singer Sharon Jones's battle with pancreatic cancer while keeping her band intact for a return to the stage.,Barbara Kopple
4331,81172726,Movie,The Vendor,"Odunlade Adekola, Jide Kosoko, Adunni Ade, Eniola Ajao, Ireti Osayemi, Kayode Olaseinde, Tunde Bernard, Bolaji Amusan",,2019-12-27,2018,TV-MA,103 min,"Comedies, International Movies",A newspaper seller bemoans his lack of success but is undermined by his own laziness when he gets a better job as a driver and finds his rich father.,Odunlade Adekola
622,60001650,Movie,Men in Black,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon Hogan, Mike Nussbaum, Jon Gries, Sergio Calderón",United States,2019-10-19,1997,PG-13,98 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","A streetwise cop teams with a veteran government agent to work for a super-secret, extremely dapper team that monitors extraterrestrials on Earth.",Barry Sonnenfeld
111,81025403,TV Show,The Inmate,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda",Mexico,2019-09-26,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.,
4038,80992963,TV Show,The Story of Us with Morgan Freeman,Morgan Freeman,United States,2019-02-01,2017,TV-14,1 Season,Docuseries,"Explore the forces of love, belief, power, war, peace, rebellion and freedom in this series about the ties that bind – and destroy – humanity.",
5266,80128715,Movie,Rodney King,Roger Guenveur Smith,United States,2017-04-28,2017,TV-MA,53 min,Dramas,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.,Spike Lee
5237,80227677,Movie,Anthony Jeselnik: Fire in the Maternity Ward,Anthony Jeselnik,United States,2019-04-30,2019,TV-MA,64 min,Stand-Up Comedy,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",Marcus Raboy
48,81016045,Movie,One Day,"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,2018-09-05,2016,TV-PG,135 min,"Dramas, International Movies, Romantic Movies","When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again.",Banjong Pisanthanakun
6161,80144146,TV Show,The Investigator: A British Crime Story,"Mark Williams-Thomas, Rick Warden, Frances Millar, Tanya Winsor, Alice Harding",United Kingdom,2018-08-19,2018,TV-14,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries","This show sheds new light on the decades-old case of Carole Packman, whose husband was convicted of her murder, even though her body was never found.",
1572,81104372,TV Show,What If?,"Monther Rayahnah, Khaled Ameen, Aseel Omran, Rawan Mahdi, Ali Al-Husseini, Abdullah Al-Turkumani",,2019-05-07,2019,TV-14,1 Season,"International TV Shows, TV Dramas","Four individuals at a crossroads in life are given the chance to take both paths, and decide which road is best for them.",
4906,81155803,Movie,Uriyadi 2,"Vijay Kumar, Vismaya, Shankar Thas, Abbas, Sudhakar, Durai Ramesh",India,2019-08-02,2019,TV-MA,116 min,"Dramas, International Movies","When a chemical plant's poor conditions cause tragedies, an employee leads a protest against the company’s callous owner and local politicians.",Vijay Kumar
3970,80201622,Movie,Tukaram,"Jitendra Joshi, Prateeksha Lonkar, Sharad Ponkshe, Radhika Apte, Veena Jamkar, Yatin Karyekar, Smita Tambe, Vrishasen Dabholkar",India,2018-02-15,2012,TV-PG,162 min,"Dramas, Faith & Spirituality, International Movies",A child whose innocence and devotion set him apart from the other children of his village grows up to be one of the foremost saints of India.,Chandrakant Kulkarni
3842,80002074,Movie,Ghost Whispers,"Maaya Sakamoto, Ikkyu Juku, Kenichirou Matsuda, Tomoyuki Dan, Takuro Nakakuni, Yoji Ueda, Kazuya Nakai, Miyuki Sawashiro, Ikuya Sawaki, Takako Fuji",Japan,2019-02-24,2013,NR,56 min,"Action & Adventure, Anime Features, International Movies","Freed of her responsibilities for the 501 Organization, Motoko must now learn how to take orders from Aramaki.",Kazuchika Kise
4932,70204316,Movie,Lavell Crawford: Can a Brother Get Some Love?,Lavell Crawford,United States,2016-08-02,2011,NR,81 min,Stand-Up Comedy,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs.",Michael Drumm
3146,80094964,Movie,Ho Mann Jahaan,"Adeel Hussain, Mahira Khan, Sheheryar Munawar, Sonya Jehan, Bushra Ansari, Nimra Bucha, Arshad Mahmud, Jamal Shah",Pakistan,2017-07-01,2015,TV-PG,170 min,"Dramas, International Movies, Romantic Movies","Three friends in modern-day Karachi navigate their post-college lives, while struggling to balance their passion for music with familial obligations.",Asim Raza
6232,70281022,TV Show,A Young Doctor's Notebook and Other Stories,"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye",United Kingdom,,2013,TV-MA,2 Seasons,"British TV Shows, TV Comedies, TV Dramas","Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",
3859,81071868,Movie,Shonar Pahar,"Tanuja, Jishu Sengupta, Parambrata Chatterjee, Arunima Ghosh, Shrijato Banerjee, Soumitra Chatterjee, Gargi Roychowdhury",India,2019-02-22,2018,TV-14,131 min,"Dramas, Independent Movies, International Movies",An older woman's unique friendship with a young boy inspires her to examine the strained relationship she shares with her married son.,Parambrata Chatterjee
954,80187223,TV Show,PJ Masks,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley","France, United Kingdom",2017-10-01,2016,TV-Y,1 Season,Kids' TV,"Three 6-year-old kids who live normal lives during the day become superheroes at night, fighting crime as a team known as PJ Masks.",
5044,80211884,TV Show,All About the Washingtons,"Joseph Simmons, Justine Simmons, Kiana Ledé, Nathan Anderson, Leah Rose Randall, Maceo Smedley, Quincy Fouse, DJ Ruckus, Adain Bradley, Tim Meadows, Daymond John, Erick Chavarria, Christopher Clarke, Aubrey Cleland, Arsenio Hall, Stephen Schneider, Max Goudsmit, Noah Gerry, Jamie VanDyke, Ashleigh Hairston",United States,2018-08-10,2018,TV-PG,1 Season,TV Comedies,"Hip-hop icon MC Joe Speed retires from showbiz and finds a new rhythm balancing business, romance and everyday family chaos.",
1682,80038335,Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Jen Kirkman,United States,2015-05-22,2015,TV-MA,78 min,Stand-Up Comedy,"Jen Kirkman delivers some sharp, hilarious truths about divorce, kids, sex and turning 40 in this Netflix original comedy special.",Lance Bangs
3727,70221571,Movie,Power Rangers Samurai: Clash of the Red Rangers,"Alex Heartman, Erika Fong, Hector David Jr., Najee De-Tiege, Brittany Anne Pirtle, Rene Naufahu",United States,2016-01-01,2011,TV-Y7-FV,46 min,Children & Family Movies,The Samurai Rangers team up with the RPM Ranger Red to fight off Master Xandred's Mooger army and a robotic villain from the RPM Ranger's dimension.,
5178,81026677,Movie,The Basement,"Mischa Barton, Jackson Davis, Cayleb Long, Tracie Thoms, Bailey Anne Borders",United States,2019-04-09,2018,TV-MA,89 min,"Horror Movies, Thrillers","Known for tortuous role-play with victims in his basement, a twisted serial killer abducts a musician who has a deeper connection to his mind games.","Brian M. Conley, Nathan Ives"
1015,81003058,Movie,Hope Springs Eternal,"Mia Rose Frampton, Beth Lacke, Stony Blyden, Juliette Angelo, Lauren Giraldo, Beau Brooks, Pej Vahdat",United States,2018-11-08,2018,PG,79 min,Dramas,"When a teen with terminal cancer miraculously finds herself in remission, she struggles to give up the attention her illness gave her at school.",Jack C. Newell
1258,81004099,Movie,Nothing to Hide,"Bérénice Bejo, Suzanne Clément, Stéphane De Groodt, Vincent Elbaz, Grégory Gadebois, Doria Tillier, Roschdy Zem, Fleur Fitoussi","France, Belgium",2018-11-16,2018,TV-MA,94 min,"Comedies, Dramas, International Movies","To spice up a dinner party, old friends agree to share every private message that pops up on their phones – with disastrous results.",Fred Cavayé
342,70077076,Movie,Murder Party,"Alex Barnett, Macon Blair, Paul Goldblatt, Stacy Rock, William Lacey, Beau Sia, Skei Saulnier, Chris Sharp, Bill Tangradi",United States,2018-09-01,2007,NR,79 min,"Comedies, Cult Movies, Horror Movies","A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party.""",Jeremy Saulnier
3975,80158801,TV Show,Nightmare High,"So-hyun Kim, Min-hyuk Lee, Ki-joon Uhm, Da-Ye Kim, Seung-do Baek, Shin-ae Seo",South Korea,2017-02-15,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Dramas","After a new teacher arrives, students' dreams begin to come true. Class president Ye-rim must solve the nightmarish mystery before it's too late.",
4168,80042368,Movie,A Very Murray Christmas,"Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix",United States,2015-12-04,2015,TV-14,57 min,"Comedies, Music & Musicals","Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows.",Sofia Coppola
2718,80229216,TV Show,Gabru: Hip Hop Revolution,"Amol Parashar, Harleen Sethi, Chaitanya Sharma, Priya Malik, Pratik Dixit",India,2018-06-01,2018,TV-14,1 Season,"International TV Shows, TV Dramas","Three young, aspiring Indian rappers make their way in a cutthroat music industry, dreaming of fame, stardom and ultimate hip-hop domination .",
272,80217779,TV Show,Marianne,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,2019-09-13,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",
4797,80114719,Movie,The Laws of Thermodynamics,"Vito Sanz, Berta Vázquez, Chino Darín, Vicky Luengo, Andrea Ros, Irene Escolar, Josep Maria Pou, Daniel Sánchez Arévalo",Spain,2018-08-31,2018,TV-MA,101 min,"Comedies, International Movies, Romantic Movies","A physicist uses the laws of thermodynamics to describe romance and relationships, but his theories prove faulty when it comes to his own love life.",Mateo Gil
1456,80210147,Movie,"Edmilson Filho: Notas, Comedy about Relationships",Edmilson Filho,Brazil,2018-11-01,2017,TV-MA,80 min,Stand-Up Comedy,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",Halder Gomes
5490,70296735,TV Show,"That Winter, the Wind Blows","Zo In-sung, Song Hye-kyo, Kim Bum, Jung Eun-ji, Bae Jong-ok, Young-hoon Kim",South Korea,2019-04-01,2013,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Seeing the chance to enrich himself by deceiving a blind heiress, clever con man Oh Soo just does what comes naturally – but his plans soon change.",
5139,80185427,TV Show,"Have You Ever Fallen in Love, Miss Jiang?","Lan Cheng-lung, Esther Yeh, He Yu-chen, Greg Han",,2017-08-01,2016,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A new teacher finds herself in an unenviable situation after witnessing a troubling interaction between an administrator and a student.,
4818,80999781,Movie,Falling Inn Love,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker",United States,2019-08-29,2019,TV-PG,98 min,"Comedies, Romantic Movies","When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",Roger Kumble
1603,80993095,Movie,Chopsticks,"Abhay Deol, Mithila Palkar, Vijay Raaz",India,2019-05-31,2019,TV-MA,101 min,"Comedies, Dramas, Independent Movies",A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.,Sachin Yardi
900,70303429,Movie,Pizza,"Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma, Rajesh Sharma, Omkar Das Manikpuri, Hussain Dalal, D. Santosh",India,2018-10-01,2014,TV-14,102 min,"Horror Movies, International Movies, Thrillers",A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.,Akshay Akkineni
4209,81213895,Movie,Khubsoorat,"Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee",India,2019-12-31,1980,TV-PG,120 min,"Classic Movies, Comedies, Dramas",A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,Hrishikesh Mukherjee
6012,70301529,TV Show,Horrid Henry,"Lizzie Waterworth, Joanna Ruiz, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Stephanie Anne Mills, David Holt",United Kingdom,2019-01-11,2019,TV-G,2 Seasons,"British TV Shows, Kids' TV, TV Comedies","To his family's frustration, Henry is skilled at making trouble, from babysitting pets in his bedroom to starting a shark panic at the swimming pool.",
4555,80139507,Movie,Famous in Ahmedabad,,India,2016-12-15,2015,TV-14,29 min,"Documentaries, International Movies",Follow an 11-year-old boy as he goes from ordinary child to colorful competitor in his quest for a big win at India’s biggest kite-flying festival.,Hardik Mehta
2605,80216302,Movie,Beats,"Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019-06-19,2019,TV-MA,110 min,"Dramas, Independent Movies, Music & Musicals","On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.",Chris Robinson
5158,80109260,Movie,APEX: The Story of the Hypercar,Zachary Levi,United States,2016-08-01,2016,NR,86 min,Documentaries,"A visionary carmaker introduces his fuel-efficient, high-performance hypercar to a market filled with big-name competitors like Ferrari and Porsche.","J.F. Musial, Josh Vietze"
4470,70221348,TV Show,DreamWorks Holiday Classics,"Ben Stiller, David Schwimmer, Chris Rock, Jada Pinkett Smith, Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Eddie Murphy, Mike Myers, Antonio Banderas, Cameron Diaz",United States,2018-12-16,2011,TV-PG,1 Season,"Kids' TV, TV Comedies","Join your DreamWorks friends for these four holiday specials, featuring Shrek and Donkey, Hiccup and Toothless, and the wacky animals from Madagascar.",
4742,70297144,TV Show,Reply 1997,"Jung Eun-ji, Seo In-guk, Shin So-yul, Ji-won Eun, Lee Ho-won, Lee Si-eon, Sung Dong-il, Lee Il-hwa, Song Jong-ho",South Korea,2019-08-08,2012,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","As a teen, Shi Won was obsessed with a boy band. Now 33 years old, Shi Won and her friends are reviving their memories as their school reunion nears.",Shin Won-ho
5461,80106743,Movie,Kevin Hart: What Now?,"Kevin Hart, Don Cheadle, Halle Berry, Ed Helms, David Meunier",United States,2017-04-11,2016,R,96 min,Stand-Up Comedy,"Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old.",Leslie Small
4989,80997793,Movie,The Mad Monk,"Stephen Chow, Maggie Cheung, Anthony Wong Chau-Sang, Kirk Wong, Ng Man-Tat, Anita Mui",Hong Kong,2018-08-16,1993,TV-14,85 min,"Comedies, International Movies, Sci-Fi & Fantasy","To avoid punishment for his misdeeds, an arrogant god accepts a mission to reform three mortals on earth, where he must also contend with a demon.",Johnny To
5282,81035872,Movie,Amar's Hands,"Ghadah Abdulrazeq, Wafaa Amer, Hassan El Raddad, Houria Farghally, Sabry Fawwaz",Egypt,2019-04-26,2011,TV-14,125 min,"Dramas, International Movies","To fulfill her husband’s dream to build a home, a widow sends her five children to earn money in Cairo, where their poverty tests them at every turn.",Khaled Youssef
5147,80114501,Movie,Opening Night,"Topher Grace, Alona Tal, Anne Heche, Taye Diggs, Rob Riggle, Paul Scheer, J.C. Chasez, Lauren Lapkus, Lesli Margherita, Brian Huskey",United States,2017-08-01,2016,TV-MA,84 min,"Comedies, Independent Movies, Music & Musicals","Once a rising star on Broadway, Nick is now the perennially pestered production manager for a new musical dedicated to rock music's one-hit wonders.",Isaac Rentz
5338,80207606,Movie,Paper Year,"Hamish Linklater, Eve Hewson, Avan Jogia, Andie MacDowell",Canada,2019-04-20,2018,TV-MA,89 min,"Dramas, Independent Movies, Romantic Movies","A young newlywed tries to keep her relationship afloat after developing feelings for her older, TV writer boss.",Rebecca Addelman
749,80191047,Movie,ReMastered: Who Shot the Sheriff,,United States,2018-10-12,2018,TV-14,57 min,"Documentaries, Music & Musicals","In 1976, reggae icon Bob Marley survived an assassination attempt as rival political groups battled in Jamaica. But who exactly was responsible?",Kief Davidson
2324,80184973,Movie,2307: Winter's Dream,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley",United States,2018-03-01,2016,TV-MA,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",Joey Curtis
2056,80170767,Movie,Wolves,"Michael Shannon, Carla Gugino, Taylor John Smith, Chris Bauer, John Douglas Thompson, Zazie Beetz, Wayne Duvall, Christopher Meyer, Richard Kohnke",United States,2019-03-29,2016,R,109 min,"Dramas, Independent Movies, Sports Movies",A promising high school basketball player has his eye on an Ivy League scholarship. But his father's secret addictions could ruin everything.,Bart Freundlich
427,80995737,Movie,Deon Cole: Cole Hearted,Deon Cole,United States,2019-10-08,2019,TV-MA,70 min,Stand-Up Comedy,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp.""",Ryan Polito
4224,81217436,Movie,Road to Sangam,"Paresh Rawal, Om Puri, Pavan Malhotra, Javed Sheikh, Swati Chitnis, Masood Akhtar, Sudhir Nema, Rakesh Srivastava",India,2019-12-31,2010,TV-14,136 min,"Dramas, Independent Movies, International Movies","As communal violence erupts in his neighborhood, a Muslim mechanic presses forward to repair a historic truck that will transport Gandhi’s last remains.",Amit Rai
2447,80211563,TV Show,Tales of the City,"Laura Linney, Ellen Page, Olympia Dukakis, Paul Gross, Murray Bartlett, Barbara Garrick, Charlie Barnett, Garcia, May Hong, Jen Richards, Victor Garber, Ashley Park, Christopher Larkin, Zosia Mamet, Molly Ringwald, Daniela Vega",United States,2019-06-07,2019,TV-MA,1 Season,TV Dramas,"Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane.",
995,70206820,Movie,The Ryan White Story,"Judith Light, Lukas Haas, Michael Bowen, Nikki Cox, George Dzundza, Valerie Landsburg, Sarah Jessica Parker, Mitchell Ryan",United States,2011-10-01,1989,TV-PG,94 min,Dramas,"After contracting HIV from a tainted blood treatment, teenaged hemophiliac Ryan White is forced to fight for his right to attend public school.",John Herzfeld
1910,80165854,Movie,Pyaar Ka Punchnama,"Kartik Aaryan, Divyendu Sharma, Raayo S. Bakhirta, Nushrat Bharucha, Sonalli Sehgall, Ishita Raj",India,2017-05-01,2011,TV-14,149 min,"Comedies, Dramas, International Movies",Matters of the heart introduce chaos into the once-idyllic bachelor existence of three young men who share an apartment.,Luv Ranjan
3928,80184154,TV Show,Kon Kon Kon,,,2018-02-16,2014,TV-PG,1 Season,"Docuseries, International TV Shows",Explore the stories of ordinary people dealing with extraordinary circumstances in this series that focuses on overcoming obstacles and odds.,
3625,70256512,Movie,Moshe Kasher: Live in Oakland,Moshe Kasher,United States,2019-01-01,2012,TV-MA,61 min,Stand-Up Comedy,Comic Moshe Kasher returns to his home turf of Oakland for this stand-up special that has him sharing uproarious stories about the people he's met.,Jay Chapman
6062,80178897,TV Show,The Story of God with Morgan Freeman,Morgan Freeman,United States,2019-02-01,2017,TV-14,2 Seasons,Docuseries,"Host Morgan Freeman explores religion's role in human history, how our beliefs connect us and possible answers to life's million-dollar questions.",
2748,80175277,TV Show,Power Battle Watch Car,"Sang-hyun Um, Tae-yeol Jeon, Yeong-wung Jeong, Hye-won Jeong, Yong-woo Shin, Jin-hong Bae, Do-hyeong Nam, Min-kyu Lee",,2017-06-01,2016,TV-Y7,1 Season,"Kids' TV, Korean TV Shows","Jino and his Watch Car, Bluewill, compete in the Battle League to become world champions. Meanwhile, a dark force threatens to destroy them all.",
4015,80080618,Movie,Guilty,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah, Atul Kumar, Gajraj Rao, Prakash Belawadi, Shishir Sharma, Tabu",India,2019-02-01,2015,TV-MA,127 min,"Dramas, International Movies","When a teen and her family's hired servant turn up dead, inept police bungle the inquiry and wind up fingering a controversial prime suspect.",Meghna Gulzar
1260,80242926,Movie,The Princess Switch,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Suanne Braun, Mark Fleischmann, Amy Griffiths, Sara Stewart, Pavel Douglas, Robin Soans, Calliope Taylor, Natali Yura, Alexa Adeosun",United States,2018-11-16,2018,TV-PG,102 min,"Children & Family Movies, Dramas, Romantic Movies","When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.",
2789,80097355,Movie,Brahman Naman,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar, Sindhu Sreenivasa Murthy, Sid Mallya, Denzil Smith","India, United Kingdom",2016-07-06,2016,TV-MA,96 min,"Comedies, Independent Movies, International Movies",This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.,Qaushiq Mukherjee
5286,80992501,Movie,Loving is Losing,"Ricardo Quevedo, Liss Pereira, Iván Marín, Lorna Cepeda, Carolina Sarmiento, Linda Baldrich, Joavany Álvarez, María Cecilia Botero, Rocío Tavera, Bruno Díaz",Colombia,2019-04-26,2019,TV-MA,91 min,"Comedies, International Movies, Romantic Movies","When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",Fernando Ayllón
3069,80005772,TV Show,Rabbids Invasion,"Damien Laquet, David Gasman, Barbara Scaff",France,2019-07-01,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!",
444,81177367,Movie,Noblemen,"Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues",India,2019-10-05,2019,TV-MA,109 min,"Dramas, Independent Movies, International Movies","When he lands the lead in his Christian school's production of ""The Merchant of Venice,"" a secretly gay student is bullied by wealthy upperclassmen.",Vandana Kataria
4802,80992137,TV Show,CAROLE & TUESDAY,"Miyuri Shimabukuro, Kana Ichinose, Akio Otsuka, Miyu Irino, Sumire Uesaka, Hiroshi Kamiya, Mamoru Miyano, Kenyu Horiuchi, Tomoko Miyadera, Takahiro Sakurai, Maaya Sakamoto, Hiroki Yasumoto",Japan,2019-08-30,2019,TV-MA,1 Season,"Anime Series, International TV Shows, Teen TV Shows","Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it.",
1303,80166471,TV Show,The Method,"Konstantin Khabenskiy, Paulina Andreeva, Alexander Tsekalo, Alexander Petrov, Ivan Dobronravov, Kirill Poluhin",Russia,2017-11-15,2015,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",An ambitious young law enforcement graduate is thrilled when her idol takes her on as a trainee. But his methods aren't anything like she imagined.,
5028,81123826,Movie,Hasta los dientes,,Mexico,2019-08-13,2018,TV-MA,109 min,"Documentaries, International Movies","This documentary follows the controversy surrounding the 2010 murders of two students, who were framed as criminals and killed by the Mexican military.",Alberto Arnaut Estrada
933,80063617,Movie,Boy and the World,"Vinícius Garcia, Felipe Zilse, Alê Abreu, Lu Horta, Marco Aurélio Campos, Cassius Romero, Alfredo Rollo",Brazil,2017-10-01,2013,PG,80 min,Children & Family Movies,"Young Cuca leaves his idyllic village on a grand adventure to find his father, who has traveled to the city seeking work.",Alê Abreu
118,80166318,Movie,Leap!,"Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen","France, Canada",2019-09-25,2016,PG,89 min,"Children & Family Movies, Comedies","Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.","Eric Summer, Éric Warin"
4042,80199689,Movie,Velvet Buzzsaw,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",United States,2019-02-01,2019,R,113 min,"Dramas, Thrillers","A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist's stash of paintings – with dire consequences.",Dan Gilroy
1209,81215437,Movie,Escape from Mr. Lemoncello’s Library,"Casey Simpson, Breanna Yde, Klarke Pipkin, Angel Luis Rivera Jr., Russell Roberts, Ty Consiglio, Hayley Scherpenisse, Patti Allan, Katey Hoffman",United States,2019-11-02,2017,TV-G,69 min,Children & Family Movies,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.,Scott McAboy
18,80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,2017-09-08,2013,TV-Y7,60 min,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.","Munjal Shroff, Tilak Shetty"
5865,80208052,TV Show,Guru Aur Bhole,Amit Kumar,,2019-03-01,2018,TV-G,3 Seasons,"Kids' TV, TV Comedies",A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.,
6211,80231523,TV Show,The Minimighty Kids,,France,2018-04-15,2012,TV-G,2 Seasons,"Kids' TV, TV Comedies","Some have big feet or a sniffly nose, others are clumsy or too sweaty – but these kids soon discover their mini problems can become superpowers.",
3048,81121172,Movie,NOVA: Black Hole Apocalypse,Janna Levin,United States,2019-07-01,2018,TV-G,113 min,Documentaries,"Astrophysicists show how black holes might hold answers to how the universe evolved, leading to life on Earth and, ultimately, the human race.",Rushmore DeNooyer
